systemName,pruefumfangName
Cascade,"TEST_FDC_ENDE"
Cascade,"EKS_INIT"
Cascade,"F1_DIAGNOSE"
Cascade,"B_DATA"
Cascade,"TEST_FDC_ENDE_B_IBN"
Cascade,"B_DIAGNOSE"
Cascade,"B_DIAGNOSE_2"
Cascade,"DIAGNOSE_ZUGANG_PRUEFEN"
Hinterachse,Hinterachse
Cascade,"TUER_VL"
Cascade,"TEST_A_IBN_AUTOMATISIERUNG"
Cascade,"TEST_FDC_START"
Cascade,"TUER_HL"
Cascade,"TUER_HR"
Cascade,"A_DIAGNOSE"
Cascade,"A_DATA"
Cascade,"A_CAS_INIT"
Cascade,"TUER_VR"
Cascade,"KEY_INIT"
Cascade,INFOTAINMENT
Cascade,"TEST_START_AUDIO_6104"
Cascade,ECOS
Cascade,"FDP_DIAGNOSE"
Cascade,"FDP_VOR_FAHRT"
Cascade,"NA_FINISH"
Cascade,"NA_RESET"
Cascade,MOTEST
Cascade,FINISH
ABS,ABX
ABS,ABSPRFG
FLS,ROLLEPRFG
FLS,FLX
Achse,ACHSPRFG
Achse,Timelogging
Headlightaiming,Headlightaiming
Cascade,SPURDIAG
Cascade,"TEST_START_AUDIO_6105"
Cascade,"TEST_START_AUDIO_6107"
MBF,"BREMSE__"
MBF,"KLIMA___"
Cascade,"FDC_ENDE"
Cascade,RESET
MBF,KUEHLER1
Cascade,"TEST_ZUENDUNG_BIP"
Cascade,"TEST_READ_NCD"
Cascade,"B_DATA2"
Cascade,"TEST_ICOM_P_UPDATE"
MBF,"FGA_____"
Cascade,"B_DIAGNOSE_VOR"
Cascade,"INIT_ICOM"
Cascade,"KEY_INIT_IPSQ"
Cascade,"F2_DIAGNOSE"
Cascade,"F2_DIAGNOSE_LIN"
Cascade,"FINISH_KPS"
Cascade,"FH_INIT_RAHMENLOS"
ABS,ABS
FLS,FLS
Achse,ABLAUF
Cascade,ACCEINSTELLUNG
Cascade,SCHEINWERFERES
Cascade,"F1_MELDUNG"
Cascade,"TEST_SCR_INBETRIEBNAHME"
Medienbefuellung,BDP1
MBF,"WWASSER_"
Cascade,"NA_F1_DIAGNOSE"
Cascade,"NA_B_DIAG"
Cascade,"NA_A_DIAG"
Cascade,"NA_CODING"
Cascade,"LK_GESAMT_FZG_FLASH"
Cascade,"NA_NORMALMODE"
Cascade,"CODIERUNG_GESAMT"
Cascade,"F2_DIAG_EINGANG"
Cascade,"NA_F2_DIAGNOSE"
Cascade,"NA_INPA"
Cascade,"F2DIAG_MONTAGE"
MBF,KUEHLER2
Cascade,"NA_BATTERIETAUSCH"
Cascade,VHT
Cascade,"NA_FERTIGUNGSMODE"
Cascade,UEBERROLLPRF
Cascade,"TEST IPSQ DIAGNOSE_ZUGANG"
Cascade,"NA_ECOS"
Cascade,"TEST_START_AUDIO_6103"
Cascade,"TEST_START_AUDIO_6401"
Cascade,"SO_EWS_ABGLEICH"
Cascade,"SO_ROBEL_FH_BF"
Cascade,"VHT_E89_EINLAUF"
weighing,weighing
Cascade,"TEST_START_AUDIO_6108"
Cascade,"TEST_START_AUDIO_6302"
Cascade,"NA_MOTOR"
Cascade,"TEST_START_AUDIO_6106"
MBF,"ADBLUE__"
Achse,"ACHSPRFG_HA"
Cascade,"NA_FEHLERSPEICHER_LESEN"
Cascade,"TEST_HEADLIGHT_MEASUREMENT"
Cascade,"NA_FLASH_1VOR"
Cascade,"FLASH_GESAMT_FAHRZEUG"
Cascade,"NA_FLASH_2NACH"
Cascade,"NA_FLASH_3NACH"
Cascade,"TEST_NA_RDC"
,NVLD
Cascade,"NA_POWERDOWN"
Cascade,"SO_SW_REFERENZ"
Cascade,"FH_INIT"
Achse,"ACHSPRFG_QB"
Cascade,"NA_INFOTAINMENT"
Cascade,"SO_SW_EINSTELLUNG_10M_WAND"
Cascade,"TEST_SMS_VERSAND"
Medienbefuellung,BREMSE
Cascade,"TEST_START_AUDIO_6301"
Cascade,"TEST_START_AUDIO_6101"
Cascade,"NA_BAND_INLINE_PROGRAMMIERUNG"
Cascade,"NA_PSDZ_DIFFERENZ"
Cascade,HKNOTENTRIEGEL
Cascade,"NA_FS_LOESCHEN"
Cascade,"TEST_START_AUDIO_6402"
Cascade,"SO_LENKUNG_ZURUECKSETZEN"
Cascade,"SO_KEY_READ"
Achse,"ACHSDIAG_QB"
Cascade,"NA_NORMALMODE_ATG"
Cascade,"NA_TELEFON_TEA"
Cascade,"NA_CODING_DIFF"
Cascade,"SO_CTM_PRODUKTIONSMODE"
Cascade,"NA_PSDZ_KOMPLETT"
Cascade,"NA_CAS_INIT_COPY_ECU"
Cascade,"NA_USB"
Cascade,TOOLSET
Cascade,"SO_HEADUNIT_TRACING_DEAKTIVIEREN"
Cascade,"TEST_NA_CHECKIN_VS"
Scheinwerfer,Scheinwerfer
Cascade,"NA_PSDZ_GATEWAYTABELLE_SCHREIBEN"
Cascade,"SO_DATEN_UPDATE"
Cascade,"SO_NICHTSTARTER_DIESEL"
Cascade,"SO_MECHCODE_SHOW"
Cascade,"SO_SITZMODUL_WIEDERBELEBEN"
Cascade,"NA_CAS_KEY_REWORK"
Cascade,"SO_KEY_POSITION_SHOW"
Cascade,"NA_RDC"
Cascade,"TEST_CHRISTOPHER"
Cascade,"NA_CODING_SINGLE"
Cascade,"SO_NORMALMODE"
Cascade,"SO_CAS_KEY_DISPLAYMECHCODE"
Cascade,"FS_LOESCHEN"
Cascade,"SO_FONDFENSTER_HOCHFAHREN"
Cascade,"TEST_STEINER"
Cascade,"TEST_TELEFON_TEA"
Cascade,"SO_TYP_PRUEFNUMMER"
Cascade,"TEST_LU_LUFTKLAPPEN"
Cascade,"SO_KLIMAKLAPPENTEST"
Cascade,"SO_INJEKTORABGLEICH"
Cascade,"SO_INJEKTORTAUSCH"
Cascade,"TEST_TUER"
Cascade,"NA_FEM_NOT_LAPTOPS"
Cascade,"SO_WASTEGATE_N20_EU6"
Cascade,"SO_AUDIO_MICRO_PRUEFUNG"
Cascade,HOCHVOLTSYSTEM
Cascade,"TEST_HYBRID_AUSSERBETRIEBNAHME_HOCHVOLT"
Cascade,"NA_ELV_RESET"
Cascade,"SO_CAS_KEY_DISPLAY_POS"
Cascade,"SO_CAS_READ_KEY"
Cascade,"NA_RUHESTROMMESSUNG"
Cascade,"NA_FETRAWE_AUS"
Cascade,"NA_CAS_REWORK"
Cascade,"TEST_A_IBN_AUTOMATISEIRUNG"
Cascade,"TEST_EKS_INIT"
Cascade,"NA_F1_INITIALISIERUNG"
Achse,ACHSDIAG
